Window;AC;Fan;Solar Radiation;Outdoor Temperature;Wind Velocity;Wind Direction;Outdoor Relative Humidity
0;0;0;866,242;27;0,5;171;80
0;0;0;1056,629;31,5;0,4;153;59
0;0;0;555,698;33,1;4,8;47;56
0;0;0;752,981;27,4;4,1;62;65
0;0;0;697,417;30,6;3,8;341;54
0;0;0;385,33;31,4;5,3;335;50
0;0;0;508,883;29,1;1,2;106;74
0;0;0;512,705;31,4;0,9;163;61
0;0;0;256,224;31,3;0,1;210;60
0;0;0;431,519;26,7;0,3;247;78
0;0;0;389,092;28,1;1;265;70
0;0;0;197,212;28,7;0,2;64;71
0;0;0,333333333;866,242;27;0,5;171;80
0;0;0,333333333;1056,629;31,5;0,4;153;59
0;0;0,333333333;555,698;33,1;4,8;47;56
0;0;0,333333333;752,981;27,4;4,1;62;65
0;0;0,333333333;697,417;30,6;3,8;341;54
0;0;0,333333333;385,33;31,4;5,3;335;50
0;0;0,333333333;508,883;29,1;1,2;106;74
0;0;0,333333333;512,705;31,4;0,9;163;61
0;0;0,333333333;256,224;31,3;0,1;210;60
0;0;0,333333333;431,519;26,7;0,3;247;78
0;0;0,333333333;389,092;28,1;1;265;70
0;0;0,333333333;197,212;28,7;0,2;64;71
0;0;0,666666667;866,242;27;0,5;171;80
0;0;0,666666667;1056,629;31,5;0,4;153;59
0;0;0,666666667;555,698;33,1;4,8;47;56
0;0;0,666666667;752,981;27,4;4,1;62;65
0;0;0,666666667;697,417;30,6;3,8;341;54
0;0;0,666666667;385,33;31,4;5,3;335;50
0;0;0,666666667;508,883;29,1;1,2;106;74
0;0;0,666666667;512,705;31,4;0,9;163;61
0;0;0,666666667;256,224;31,3;0,1;210;60
0;0;0,666666667;431,519;26,7;0,3;247;78
0;0;0,666666667;389,092;28,1;1;265;70
0;0;0,666666667;197,212;28,7;0,2;64;71
0;0;1;866,242;27;0,5;171;80
0;0;1;1056,629;31,5;0,4;153;59
0;0;1;555,698;33,1;4,8;47;56
0;0;1;752,981;27,4;4,1;62;65
0;0;1;697,417;30,6;3,8;341;54
0;0;1;385,33;31,4;5,3;335;50
0;0;1;508,883;29,1;1,2;106;74
0;0;1;512,705;31,4;0,9;163;61
0;0;1;256,224;31,3;0,1;210;60
0;0;1;431,519;26,7;0,3;247;78
0;0;1;389,092;28,1;1;265;70
0;0;1;197,212;28,7;0,2;64;71
0;1;0;866,242;27;0,5;171;80
0;1;0;1056,629;31,5;0,4;153;59
0;1;0;555,698;33,1;4,8;47;56
0;1;0;752,981;27,4;4,1;62;65
0;1;0;697,417;30,6;3,8;341;54
0;1;0;385,33;31,4;5,3;335;50
0;1;0;508,883;29,1;1,2;106;74
0;1;0;512,705;31,4;0,9;163;61
0;1;0;256,224;31,3;0,1;210;60
0;1;0;431,519;26,7;0,3;247;78
0;1;0;389,092;28,1;1;265;70
0;1;0;197,212;28,7;0,2;64;71
0;1;0,333333333;866,242;27;0,5;171;80
0;1;0,333333333;1056,629;31,5;0,4;153;59
0;1;0,333333333;555,698;33,1;4,8;47;56
0;1;0,333333333;752,981;27,4;4,1;62;65
0;1;0,333333333;697,417;30,6;3,8;341;54
0;1;0,333333333;385,33;31,4;5,3;335;50
0;1;0,333333333;508,883;29,1;1,2;106;74
0;1;0,333333333;512,705;31,4;0,9;163;61
0;1;0,333333333;256,224;31,3;0,1;210;60
0;1;0,333333333;431,519;26,7;0,3;247;78
0;1;0,333333333;389,092;28,1;1;265;70
0;1;0,333333333;197,212;28,7;0,2;64;71
0;1;0,666666667;866,242;27;0,5;171;80
0;1;0,666666667;1056,629;31,5;0,4;153;59
0;1;0,666666667;555,698;33,1;4,8;47;56
0;1;0,666666667;752,981;27,4;4,1;62;65
0;1;0,666666667;697,417;30,6;3,8;341;54
0;1;0,666666667;385,33;31,4;5,3;335;50
0;1;0,666666667;508,883;29,1;1,2;106;74
0;1;0,666666667;512,705;31,4;0,9;163;61
0;1;0,666666667;256,224;31,3;0,1;210;60
0;1;0,666666667;431,519;26,7;0,3;247;78
0;1;0,666666667;389,092;28,1;1;265;70
0;1;0,666666667;197,212;28,7;0,2;64;71
0;1;1;866,242;27;0,5;171;80
0;1;1;1056,629;31,5;0,4;153;59
0;1;1;555,698;33,1;4,8;47;56
0;1;1;752,981;27,4;4,1;62;65
0;1;1;697,417;30,6;3,8;341;54
0;1;1;385,33;31,4;5,3;335;50
0;1;1;508,883;29,1;1,2;106;74
0;1;1;512,705;31,4;0,9;163;61
0;1;1;256,224;31,3;0,1;210;60
0;1;1;431,519;26,7;0,3;247;78
0;1;1;389,092;28,1;1;265;70
0;1;1;197,212;28,7;0,2;64;71
1;0;0;866,242;27;0,5;171;80
1;0;0;1056,629;31,5;0,4;153;59
1;0;0;555,698;33,1;4,8;47;56
1;0;0;752,981;27,4;4,1;62;65
1;0;0;697,417;30,6;3,8;341;54
1;0;0;385,33;31,4;5,3;335;50
1;0;0;508,883;29,1;1,2;106;74
1;0;0;512,705;31,4;0,9;163;61
1;0;0;256,224;31,3;0,1;210;60
1;0;0;431,519;26,7;0,3;247;78
1;0;0;389,092;28,1;1;265;70
1;0;0;197,212;28,7;0,2;64;71
1;0;0,333333333;866,242;27;0,5;171;80
1;0;0,333333333;1056,629;31,5;0,4;153;59
1;0;0,333333333;555,698;33,1;4,8;47;56
1;0;0,333333333;752,981;27,4;4,1;62;65
1;0;0,333333333;697,417;30,6;3,8;341;54
1;0;0,333333333;385,33;31,4;5,3;335;50
1;0;0,333333333;508,883;29,1;1,2;106;74
1;0;0,333333333;512,705;31,4;0,9;163;61
1;0;0,333333333;256,224;31,3;0,1;210;60
1;0;0,333333333;431,519;26,7;0,3;247;78
1;0;0,333333333;389,092;28,1;1;265;70
1;0;0,333333333;197,212;28,7;0,2;64;71
1;0;0,666666667;866,242;27;0,5;171;80
1;0;0,666666667;1056,629;31,5;0,4;153;59
1;0;0,666666667;555,698;33,1;4,8;47;56
1;0;0,666666667;752,981;27,4;4,1;62;65
1;0;0,666666667;697,417;30,6;3,8;341;54
1;0;0,666666667;385,33;31,4;5,3;335;50
1;0;0,666666667;508,883;29,1;1,2;106;74
1;0;0,666666667;512,705;31,4;0,9;163;61
1;0;0,666666667;256,224;31,3;0,1;210;60
1;0;0,666666667;431,519;26,7;0,3;247;78
1;0;0,666666667;389,092;28,1;1;265;70
1;0;0,666666667;197,212;28,7;0,2;64;71
1;0;1;866,242;27;0,5;171;80
1;0;1;1056,629;31,5;0,4;153;59
1;0;1;555,698;33,1;4,8;47;56
1;0;1;752,981;27,4;4,1;62;65
1;0;1;697,417;30,6;3,8;341;54
1;0;1;385,33;31,4;5,3;335;50
1;0;1;508,883;29,1;1,2;106;74
1;0;1;512,705;31,4;0,9;163;61
1;0;1;256,224;31,3;0,1;210;60
1;0;1;431,519;26,7;0,3;247;78
1;0;1;389,092;28,1;1;265;70
1;0;1;197,212;28,7;0,2;64;71
1;1;0;866,242;27;0,5;171;80
1;1;0;1056,629;31,5;0,4;153;59
1;1;0;555,698;33,1;4,8;47;56
1;1;0;752,981;27,4;4,1;62;65
1;1;0;697,417;30,6;3,8;341;54
1;1;0;385,33;31,4;5,3;335;50
1;1;0;508,883;29,1;1,2;106;74
1;1;0;512,705;31,4;0,9;163;61
1;1;0;256,224;31,3;0,1;210;60
1;1;0;431,519;26,7;0,3;247;78
1;1;0;389,092;28,1;1;265;70
1;1;0;197,212;28,7;0,2;64;71
1;1;0,333333333;866,242;27;0,5;171;80
1;1;0,333333333;1056,629;31,5;0,4;153;59
1;1;0,333333333;555,698;33,1;4,8;47;56
1;1;0,333333333;752,981;27,4;4,1;62;65
1;1;0,333333333;697,417;30,6;3,8;341;54
1;1;0,333333333;385,33;31,4;5,3;335;50
1;1;0,333333333;508,883;29,1;1,2;106;74
1;1;0,333333333;512,705;31,4;0,9;163;61
1;1;0,333333333;256,224;31,3;0,1;210;60
1;1;0,333333333;431,519;26,7;0,3;247;78
1;1;0,333333333;389,092;28,1;1;265;70
1;1;0,333333333;197,212;28,7;0,2;64;71
1;1;0,666666667;866,242;27;0,5;171;80
1;1;0,666666667;1056,629;31,5;0,4;153;59
1;1;0,666666667;555,698;33,1;4,8;47;56
1;1;0,666666667;752,981;27,4;4,1;62;65
1;1;0,666666667;697,417;30,6;3,8;341;54
1;1;0,666666667;385,33;31,4;5,3;335;50
1;1;0,666666667;508,883;29,1;1,2;106;74
1;1;0,666666667;512,705;31,4;0,9;163;61
1;1;0,666666667;256,224;31,3;0,1;210;60
1;1;0,666666667;431,519;26,7;0,3;247;78
1;1;0,666666667;389,092;28,1;1;265;70
1;1;0,666666667;197,212;28,7;0,2;64;71
1;1;1;866,242;27;0,5;171;80
1;1;1;1056,629;31,5;0,4;153;59
1;1;1;555,698;33,1;4,8;47;56
1;1;1;752,981;27,4;4,1;62;65
1;1;1;697,417;30,6;3,8;341;54
1;1;1;385,33;31,4;5,3;335;50
1;1;1;508,883;29,1;1,2;106;74
1;1;1;512,705;31,4;0,9;163;61
1;1;1;256,224;31,3;0,1;210;60
1;1;1;431,519;26,7;0,3;247;78
1;1;1;389,092;28,1;1;265;70
1;1;1;197,212;28,7;0,2;64;71
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
